PF04624.15	DEC1
PF00602.18	Flu_PB1
PF00604.18	Flu_PB2
PF17891.2	FluMu_N
PF14282.7	FlxA
PF04500.17	FLYWCH
PF15423.7	FLYWCH_N
PF16662.6	FLYWCH_u
PF03069.16	FmdA_AmdA
PF02663.15	FmdE
PF09766.10	FmiP_Thoc5
PF04205.15	FMN_bind
PF04299.13	FMN_bind_2
PF01070.19	FMN_dh
PF03358.16	FMN_red
PF00743.20	FMO-like
PF17315.3	FMP23
PF10344.10	Fmp27
PF10347.10	Fmp27_GFWDK
PF10305.10	Fmp27_SW
PF10359.10	Fmp27_WPPW
PF07091.12	FmrO
PF02986.15	Fn_bind
PF00039.19	fn1
PF00040.20	fn2
PF00041.22	fn3
PF16893.6	fn3_2
PF14686.7	fn3_3
PF16794.6	fn3_4
PF06280.13	fn3_5
PF17766.2	fn3_6
PF18447.2	FN3_7
PF13287.7	Fn3_assoc
PF17808.2	fn3_PAP
PF14310.7	Fn3-like
PF05725.13	FNIP
PF14638.7	FNIP_C
PF14637.7	FNIP_M
PF14636.7	FNIP_N
PF03274.15	Foamy_BEL
PF03408.15	Foamy_virus_ENV
PF11229.9	Focadhesin
PF03623.14	Focal_AT
PF15888.6	FOG_N
PF11817.9	Foie-gras_1
PF02980.17	FokI_C
PF02981.16	FokI_N
PF01770.19	Folate_carrier
PF03024.15	Folate_rec
PF02152.19	FolB
PF11704.9	Folliculin
PF16692.6	Folliculin_C
PF09289.11	FOLN
PF09398.11	FOP_dimer
PF13865.7	FoP_duplication
PF00250.19	Forkhead
PF08430.13	Forkhead_N
PF01226.18	Form_Nir_trans
PF09163.12	Form-deh_trans
PF18382.2	Formin_GBD_N
PF02911.19	Formyl_trans_C
PF00551.20	Formyl_trans_N
PF12414.9	Fox-1_C
PF16675.6	FOXO_KIX_bdg
PF16676.6	FOXO-TAD
PF16159.6	FOXP-CC
PF09758.10	FPL
PF06963.13	FPN1
PF10621.10	FpoO
PF05911.12	FPP
PF16104.6	FPRL1_inhibitor
PF17614.3	FPV060
PF08445.11	FR47
PF09725.10	Fra10Ac1
PF10277.10	Frag1
PF16376.6	fragilysinNterm
PF05994.12	FragX_IP
PF14407.7	Frankia_peptide
PF01491.17	Frataxin_Cyay
PF08771.12	FRB_dom
PF03197.14	FRD2
PF08867.12	FRG
PF06229.13	FRG1
PF15315.7	FRG2
PF04432.14	FrhB_FdhB_C
PF04422.14	FrhB_FdhB_N
PF07899.12	Frigida
PF02434.17	Fringe
PF01534.18	Frizzled
PF18032.2	FRP
PF06901.13	FrpC
PF09421.11	FRQ
PF11768.9	Frtz
PF03881.15	Fructosamin_kin
PF10479.10	FSA_C
PF03032.16	FSAP_sig_propep
PF03959.14	FSH1
PF15554.7	FSIP1
PF15783.6	FSIP2
PF13955.7	Fst_toxin
PF13095.7	FTA2
PF13093.7	FTA4
PF02971.15	FTCD
PF04961.13	FTCD_C
PF07837.13	FTCD_N
PF01827.28	FTH
PF01268.20	FTHFS
PF12934.8	FTO_CTD
PF12933.8	FTO_NTD
PF07504.14	FTP
PF01913.19	FTR
PF02741.16	FTR_C
PF03239.15	FTR1
PF14450.7	FtsA
PF06480.16	FtsH_ext
PF01728.20	FtsJ
PF13491.7	FtsK_4TM
PF17854.2	FtsK_alpha
PF09397.11	FtsK_gamma
PF01580.19	FtsK_SpoIIIE
PF12538.9	FtsK_SpoIIIE_N
PF04999.14	FtsL
PF03799.16	FtsQ
PF01098.20	FTSW_RODA_SPOVE
PF02687.22	FtsX
PF18075.2	FtsX_ECD
PF12327.9	FtsZ_C
PF03867.15	FTZ
PF07959.13	Fucokinase
PF02952.18	Fucose_iso_C
PF07881.13	Fucose_iso_N1
PF07882.13	Fucose_iso_N2
PF16757.6	Fucosidase_C
PF18025.2	FucT_N
PF10415.10	FumaraseC_C
PF02300.18	Fumarate_red_C
PF02313.18	Fumarate_red_D
PF03630.15	Fumble
PF05681.15	Fumerase
PF05683.13	Fumerase_C
PF05933.14	Fun_ATP-synt_8
PF04930.16	FUN14
PF16797.6	Fungal_KA1
PF07938.13	Fungal_lectin
PF18647.2	Fungal_lectin_2
PF12709.8	Fungal_TACC
PF04082.19	Fungal_trans
PF11951.9	Fungal_trans_2
PF10917.9	Fungus-induced
PF01475.20	FUR
PF13076.7	Fur_reg_FbpA
PF13040.7	Fur_reg_FbpB
PF00757.21	Furin-like
PF15913.6	Furin-like_2
PF04632.13	FUSC
PF13515.7	FUSC_2
PF12805.8	FUSC-like
PF15993.6	Fuseless
PF13044.7	Fusion_F0
PF00523.19	Fusion_gly
PF01621.18	Fusion_gly_K
PF19036.1	Fuz_longin_1
PF19037.1	Fuz_longin_2
PF19038.1	Fuz_longin_3
PF09259.12	Fve
PF14922.7	FWWh
PF14670.7	FXa_inhibition
PF16098.6	FXMR_C2
PF12235.9	FXMRP1_C_core
PF16096.6	FXR_C1
PF16097.6	FXR_C3
PF04186.14	FxsA
PF09538.11	FYDLN_acid
PF05965.15	FYRC
PF05964.15	FYRN
PF07078.12	FYTT
PF01363.22	FYVE
PF02318.17	FYVE_2
PF01392.23	Fz
PF04799.14	Fzo_mitofusin
PF01019.22	G_glu_transpept
PF15991.6	G_path_suppress
PF12803.8	G-7-MTase
PF00503.21	G-alpha
PF00631.23	G-gamma
PF01585.24	G-patch
PF12656.8	G-patch_2
PF15103.7	G0-G1_switch_2
PF01125.18	G10
PF18442.2	G2BR
PF07474.13	G2F
PF02660.16	G3P_acyltransf
PF04309.13	G3P_antiterm
PF07501.13	G5
PF15096.7	G6B
PF10786.10	G6PD_bact
PF02781.17	G6PD_C
PF00479.23	G6PD_N
PF10162.10	G8
PF01468.18	GA
PF17573.3	GA-like
PF04114.15	Gaa1
PF11620.9	GABP-alpha
PF02938.15	GAD
PF08887.12	GAD-like
PF01590.27	GAF
PF13185.7	GAF_2
PF13492.7	GAF_3
PF01140.20	Gag_MA
PF02337.18	Gag_p10
PF01141.19	Gag_p12
PF08723.11	Gag_p15
PF00540.19	Gag_p17
PF02228.17	Gag_p19
PF00607.21	Gag_p24
PF02093.17	Gag_p30
PF08705.12	Gag_p6
PF13976.7	gag_pre-integrs
PF03276.15	Gag_spuma
PF13975.7	gag-asp_proteas
PF09237.12	GAGA
PF06217.13	GAGA_bind
PF16828.6	GAGBD
PF05831.12	GAGE
PF16489.6	GAIN
PF18619.2	GAIN_A
PF17337.3	Gal_GalNac_35kD
PF02140.19	Gal_Lectin
PF13802.7	Gal_mutarotas_2
PF18080.2	Gal_mutarotas_3
PF06990.12	Gal-3-0_sulfotr
PF00337.23	Gal-bind_lectin
PF18535.2	Gal11_ABD1
PF03902.14	Gal4_dimer
PF01762.22	Galactosyl_T
PF01296.19	Galanin
PF17974.2	GalBD_like
PF10509.10	GalKase_gal_bdg
PF02052.16	Gallidermin
PF02744.18	GalP_UDP_tr_C
PF01087.23	GalP_UDP_transf
PF06064.12	Gam
PF05908.12	Gamma_PGA_hydro
PF00304.21	Gamma-thionin
PF17155.5	GAPES1
PF17156.5	GAPES2
PF17154.5	GAPES3
PF17157.5	GAPES4
PF11770.9	GAPT
PF04410.15	Gar1
PF16731.6	GARP
PF01071.20	GARS_A
PF02843.17	GARS_C
PF02844.16	GARS_N
PF13851.7	GAS
PF00741.19	Gas_vesicle
PF01304.18	Gas_vesicle_C
PF02187.18	GAS2
PF02704.15	GASA
PF04598.13	Gasdermin
PF17708.2	Gasdermin_C
PF00918.18	Gastrin
PF03127.15	GAT
PF00320.28	GATA
PF05349.13	GATA-N
PF00117.29	GATase
PF00310.22	GATase_2
PF07685.15	GATase_3
PF13230.7	GATase_4
PF13507.7	GATase_5
PF13522.7	GATase_6
PF13537.7	GATase_7
PF07090.12	GATase1_like
PF02934.16	GatB_N
PF02637.19	GatB_Yqey
PF18195.2	GatD_N
PF07670.15	Gate
PF08013.12	GatZ_KbaZ-like
PF04572.13	Gb3_synth
PF06155.13	GBBH-like_N
PF02263.20	GBP
PF02841.15	GBP_C
PF02425.16	GBP_PSP
PF02526.15	GBP_repeat
PF18416.2	GbpA_2
PF08363.11	GbpC
PF17580.3	GBR_NSP5
PF18455.2	GBR2_CC
PF08481.11	GBS_Bsp-like
PF12786.8	GBV-C_env
PF04189.14	Gcd10p
PF08704.11	GCD14
PF14801.7	GCD14_N
PF07842.13	GCFC
PF05165.13	GCH_III
PF02649.15	GCHY-1
PF13324.7	GCIP
PF07802.12	GCK
PF03615.16	GCM
PF12074.9	Gcn1_N
PF06320.14	GCN5L1
PF18229.2	GcnA_N
PF15328.7	GCOM2
PF04130.14	GCP_C_terminal
PF17681.2	GCP_N_terminal
PF14609.7	GCP5-Mod21
PF04551.15	GcpE
PF02155.16	GCR
PF12550.9	GCR1_C
PF07750.12	GcrA
PF03074.17	GCS
PF04107.14	GCS2
PF16647.6	GCSF
PF01597.20	GCV_H
PF01571.22	GCV_T
PF08669.12	GCV_T_C
PF09694.11	Gcw_chp
PF04295.14	GD_AH_C
PF16030.6	GD_N
PF01150.18	GDA1_CD39
PF02347.17	GDC-P
PF06202.15	GDE_C
PF12439.9	GDE_N
PF14742.7	GDE_N_bis
PF12466.9	GDH_N
PF00996.19	GDI
PF02351.17	GDNF
PF16363.6	GDP_Man_Dehyd
PF03009.18	GDPD
PF13653.7	GDPD_2
PF15667.6	GDWWSH
PF14345.7	GDYXXLXY
PF16529.6	Ge1_WD40
PF02212.19	GED
PF00626.23	Gelsolin
PF06372.13	Gemin6
PF11095.9	Gemin7
PF15348.7	GEMIN8
PF04807.13	Gemini_AC4_5
PF08464.11	Gemini_AC4_5_2
PF00799.21	Gemini_AL1
PF08283.12	Gemini_AL1_M
PF01440.17	Gemini_AL2
PF01407.18	Gemini_AL3
PF00845.20	Gemini_BL1
PF01492.18	Gemini_C4
PF00844.19	Gemini_coat
PF01708.17	Gemini_mov
PF01524.18	Gemini_V2
PF07412.13	Geminin
PF18380.2	GEN1_C
PF02053.16	Gene66
PF17053.6	GEP5
PF03323.14	GerA
PF17898.2	GerD
PF00196.20	GerE
PF10646.10	Germane
PF10676.10	gerPA
PF10803.9	GerPB
PF10737.10	GerPC
PF10970.9	GerPE
PF08690.11	GET2
PF16843.6	Get5_bdg
PF18514.2	Get5_C
PF05671.12	GETHR
PF14843.7	GF_recep_IV
PF04828.15	GFA
PF17331.3	GFD1
PF01408.23	GFO_IDH_MocA
PF02894.18	GFO_IDH_MocA_C
PF19051.1	GFO_IDH_MocA_C2
PF01353.23	GFP
PF06399.14	GFRP
PF18308.2	GGA_N-GAT
PF06094.13	GGACT
PF00990.22	GGDEF
PF17853.2	GGDEF_2
PF14057.7	GGGtGRT
PF15685.6	GGN
PF14410.7	GH-E
PF17995.2	GH101_N
PF14741.7	GH114_assoc
PF17829.2	GH115_C
PF18271.2	GH131_N
PF03321.14	GH3
PF16369.6	GH43_C
PF17851.2	GH43_C2
PF14509.7	GH97_C
PF14508.7	GH97_N
PF12772.8	GHBP
PF17834.2	GHD
PF02638.16	GHL10
PF14883.7	GHL13
PF14885.7	GHL15
PF14872.7	GHL5
PF14871.7	GHL6
PF08544.14	GHMP_kinases_C
PF00288.27	GHMP_kinases_N
PF11080.9	GhoS
PF01134.23	GIDA
PF13932.7	GIDA_assoc
PF02527.16	GidB
PF12483.9	GIDE
PF13856.7	Gifsy-2
PF08388.12	GIIM
PF03227.17	GILT
PF10764.10	Gin
PF16559.6	GIT_CC
PF08518.12	GIT_SHD
PF12205.9	GIT1_C
PF11710.9	Git3
PF01541.25	GIY-YIG
PF03359.14	GKAP
PF00594.21	Gla
PF11397.9	GlcNAc
PF07221.12	GlcNAc_2-epim
PF18440.2	GlcNAc-1_reg
PF17847.2	GlcV_C_terminal
PF14109.7	GldH_lipo
PF12080.9	GldM_C
PF12081.9	GldM_N
PF07817.14	GLE1
PF10528.10	GLEYA
PF03275.14	GLF
PF17994.2	Glft2_N
PF08971.12	GlgS
PF18390.2	GlgX_C
PF13016.7	Gliadin
PF15644.7	Gln_amidase
PF18626.2	Gln_deamidase_2
PF00120.25	Gln-synt_C
PF18318.2	Gln-synt_C-ter
PF03951.20	Gln-synt_N
PF16952.6	Gln-synt_N_2
PF08335.12	GlnD_UR_UTase
PF03710.16	GlnE
PF00042.23	Globin
PF10793.10	Gloverin
PF06942.13	GlpM
PF03616.15	Glt_symporter
PF08718.12	GLTP
PF15249.7	GLTSCR1
PF01744.21	GLTT
PF05096.13	Glu_cyclase_2
PF04262.15	Glu_cys_ligase
PF16912.6	Glu_dehyd_C
PF04898.15	Glu_syn_central
PF01645.18	Glu_synthase
PF02686.16	Glu-tRNAGln
PF02364.16	Glucan_synthase
PF09136.11	Glucodextran_B
PF09985.10	Glucodextran_C
PF09137.12	Glucodextran_N
PF02685.17	Glucokinase
PF13618.7	Gluconate_2-dh3
PF14264.7	Glucos_trans_II
PF01182.21	Glucosamine_iso
PF01832.21	Glucosaminidase
PF07581.13	Glug
PF10606.10	GluR_Homer-bdg
PF18466.2	GluRS_N
PF04960.16	Glutaminase
PF00462.25	Glutaredoxin
PF04399.14	Glutaredoxin2_C
PF03157.14	Glutenin_hmw
PF00745.21	GlutR_dimer
PF05201.16	GlutR_N
PF08444.11	Gly_acyl_tr_C
PF06021.12	Gly_acyl_tr_N
PF02595.16	Gly_kinase
PF01228.22	Gly_radical
PF09338.12	Gly_reductase
PF12810.8	Gly_rich
PF14272.7	Gly_rich_SFCGS
PF04488.16	Gly_transf_sug
PF12764.8	Gly-rich_Ago1
PF13488.7	Gly-zipper_Omp
PF13436.7	Gly-zipper_OmpA
PF13441.7	Gly-zipper_YMGG
PF18230.2	Glyc_hyd_38C_2
PF05242.12	GLYCAM-1
PF18088.2	Glyco_H_20C_C
PF17451.3	Glyco_hyd_101C
PF14498.7	Glyco_hyd_65N_2
PF12215.9	Glyco_hydr_116N
PF14587.7	Glyco_hydr_30_2
PF00232.19	Glyco_hydro_1
PF00331.21	Glyco_hydro_10
PF12899.8	Glyco_hydro_100
PF12905.8	Glyco_hydro_101
PF17132.5	Glyco_hydro_106
PF05838.13	Glyco_hydro_108
PF00457.18	Glyco_hydro_11
PF03537.14	Glyco_hydro_114
PF15979.6	Glyco_hydro_115
PF01670.17	Glyco_hydro_12
PF06824.12	Glyco_hydro_125
PF07944.13	Glyco_hydro_127
PF11308.9	Glyco_hydro_129
PF04041.14	Glyco_hydro_130
PF01373.18	Glyco_hydro_14
PF00723.22	Glyco_hydro_15
PF00722.22	Glyco_hydro_16
PF00332.19	Glyco_hydro_17
PF00704.29	Glyco_hydro_18
PF00182.20	Glyco_hydro_19
PF00703.22	Glyco_hydro_2
PF02836.18	Glyco_hydro_2_C
PF02837.19	Glyco_hydro_2_N
PF00728.23	Glyco_hydro_20
PF02838.16	Glyco_hydro_20b
PF01183.21	Glyco_hydro_25
PF02156.16	Glyco_hydro_26
PF00295.18	Glyco_hydro_28
PF00933.22	Glyco_hydro_3
PF01915.23	Glyco_hydro_3_C
PF02055.17	Glyco_hydro_30
PF17189.5	Glyco_hydro_30C
PF01055.27	Glyco_hydro_31
PF08244.13	Glyco_hydro_32C
PF00251.21	Glyco_hydro_32N
PF01301.20	Glyco_hydro_35
PF17167.5	Glyco_hydro_36
PF16874.6	Glyco_hydro_36C
PF16875.6	Glyco_hydro_36N
PF18438.2	Glyco_hydro_38
PF07748.14	Glyco_hydro_38C
PF01074.23	Glyco_hydro_38N
PF01229.18	Glyco_hydro_39
PF02056.17	Glyco_hydro_4
PF02449.16	Glyco_hydro_42
PF08533.11	Glyco_hydro_42C
PF08532.11	Glyco_hydro_42M
PF04616.15	Glyco_hydro_43
PF12891.8	Glyco_hydro_44
PF02015.17	Glyco_hydro_45
PF01374.19	Glyco_hydro_46
PF01532.21	Glyco_hydro_47
PF02011.16	Glyco_hydro_48
PF03718.14	Glyco_hydro_49
PF17433.3	Glyco_hydro_49N
PF11975.9	Glyco_hydro_4C
PF18564.2	Glyco_hydro_5_C
PF03512.14	Glyco_hydro_52
PF07745.14	Glyco_hydro_53
PF01630.19	Glyco_hydro_56
PF03065.16	Glyco_hydro_57
PF02057.16	Glyco_hydro_59
PF17387.3	Glyco_hydro_59M
PF01341.18	Glyco_hydro_6
PF03443.15	Glyco_hydro_61
PF03664.14	Glyco_hydro_62
PF03200.17	Glyco_hydro_63
PF16923.6	Glyco_hydro_63N
PF16483.6	Glyco_hydro_64
PF03633.16	Glyco_hydro_65C
PF03632.16	Glyco_hydro_65m
PF03636.16	Glyco_hydro_65N
PF13199.7	Glyco_hydro_66
PF07477.13	Glyco_hydro_67C
PF07488.13	Glyco_hydro_67M
PF03648.15	Glyco_hydro_67N
PF02435.17	Glyco_hydro_68
PF00840.21	Glyco_hydro_7
PF02324.17	Glyco_hydro_70
PF03659.15	Glyco_hydro_71
PF03198.15	Glyco_hydro_72
PF07335.12	Glyco_hydro_75
PF03663.15	Glyco_hydro_76
PF02446.18	Glyco_hydro_77
PF16862.6	Glyco_hydro_79C
PF03662.15	Glyco_hydro_79n
PF01270.18	Glyco_hydro_8
PF13647.7	Glyco_hydro_80
PF03639.14	Glyco_hydro_81
PF03644.14	Glyco_hydro_85
PF07470.14	Glyco_hydro_88
PF00759.20	Glyco_hydro_9
PF07971.13	Glyco_hydro_92
PF17678.2	Glyco_hydro_92N
PF10566.10	Glyco_hydro_97
PF08307.12	Glyco_hydro_98C
PF08306.12	Glyco_hydro_98M
PF16317.6	Glyco_hydro_99
PF11790.9	Glyco_hydro_cc
PF18565.2	Glyco_hydro2_C5
PF17677.2	Glyco_hydro38C2
PF17652.2	Glyco_hydro81C
PF17039.6	Glyco_tran_10_N
PF04101.17	Glyco_tran_28_C
PF14307.7	Glyco_tran_WbsX
PF03808.14	Glyco_tran_WecB
PF10111.10	Glyco_tranf_2_2
PF13641.7	Glyco_tranf_2_3
PF13704.7	Glyco_tranf_2_4
PF13712.7	Glyco_tranf_2_5
PF13524.7	Glyco_trans_1_2
PF13528.7	Glyco_trans_1_3
PF13692.7	Glyco_trans_1_4
PF13632.7	Glyco_trans_2_3
PF13477.7	Glyco_trans_4_2
PF12000.9	Glyco_trans_4_3
PF13579.7	Glyco_trans_4_4
PF16994.6	Glyco_trans_4_5
PF09318.11	Glyco_trans_A_1
PF00852.20	Glyco_transf_10
PF01531.17	Glyco_transf_11
PF01793.17	Glyco_transf_15
PF04724.14	Glyco_transf_17
PF15024.7	Glyco_transf_18
PF00982.22	Glyco_transf_20
PF13506.7	Glyco_transf_21
PF03901.18	Glyco_transf_22
PF18404.2	Glyco_transf_24
PF01755.18	Glyco_transf_25
PF03033.21	Glyco_transf_28
PF00777.19	Glyco_transf_29
PF05637.13	Glyco_transf_34
PF06165.12	Glyco_transf_36
PF13439.7	Glyco_transf_4
PF13844.7	Glyco_transf_41
PF03360.17	Glyco_transf_43
PF13896.7	Glyco_transf_49
PF08323.12	Glyco_transf_5
PF07922.12	Glyco_transf_52
PF04666.14	Glyco_transf_54
PF07429.12	Glyco_transf_56
PF03414.14	Glyco_transf_6
PF09258.11	Glyco_transf_64
PF02709.15	Glyco_transf_7C
PF13733.7	Glyco_transf_7N
PF01501.21	Glyco_transf_8
PF16849.6	Glyco_transf_88
PF08437.11	Glyco_transf_8C
PF01075.18	Glyco_transf_9
PF05686.13	Glyco_transf_90
PF01697.28	Glyco_transf_92
PF10091.10	Glycoamylase
PF05693.14	Glycogen_syn
PF14845.7	Glycohydro_20b2
PF06475.12	Glycolipid_bind
PF00274.20	Glycolytic
PF01102.19	Glycophorin_A
PF17416.3	Glycoprot_B_PH1
PF17417.3	Glycoprot_B_PH2
PF03409.16	Glycoprotein
PF00606.19	Glycoprotein_B
PF00802.20	Glycoprotein_G
PF02885.18	Glycos_trans_3N
PF00534.21	Glycos_transf_1
PF00535.27	Glycos_transf_2
PF00591.22	Glycos_transf_3
PF00953.22	Glycos_transf_4
PF04413.17	Glycos_transf_N
PF12524.9	GlyL_C
PF07250.12	Glyoxal_oxid_N
PF00903.26	Glyoxalase
PF12681.8	Glyoxalase_2
PF13468.7	Glyoxalase_3
PF13669.7	Glyoxalase_4
PF14696.7	Glyoxalase_5
PF18029.2	Glyoxalase_6
PF04464.15	Glyphos_transf
PF01153.20	Glypican
PF01109.18	GM_CSF
PF19046.1	GM130_C
PF10647.10	Gmad1
PF10648.10	Gmad2
PF06540.12	GMAP
PF05199.14	GMC_oxred_C
PF00732.20	GMC_oxred_N
PF05351.12	GMP_PDE_delta
PF00958.23	GMP_synt_C
PF09535.11	Gmx_para_CXXCG
PF08701.12	GN3L_Grn1
PF13718.7	GNAT_acetyltr_2
PF12746.8	GNAT_acetyltran
PF18164.2	GNAT_C
PF18407.2	GNAT_like
PF12369.9	GnHR_trans
PF00446.18	GnRH
PF08178.12	GnsAB_toxin
PF03071.16	GNT-I
PF02447.17	GntP_permease
PF00392.22	GntR
PF13807.7	GNVR
PF13897.7	GOLD_2
PF15070.7	GOLGA2L5
PF09787.10	Golgin_A5
PF02188.18	GoLoco
PF08685.12	GON
PF08738.11	Gon7
PF17109.6	Goodbye
PF04178.13	Got1
PF02800.21	Gp_dh_C
PF00044.25	Gp_dh_N
PF11668.9	Gp_UL130
PF05823.13	Gp-FAR-1
PF08677.11	GP11
PF09089.11	gp12-short_mid
PF00516.19	GP120
PF18352.2	Gp138_N
PF17420.3	GP17
PF07068.12	Gp23
PF17388.3	GP24_25
PF03076.15	GP3
PF16677.6	GP3_package
PF08804.11	gp32
PF09646.11	Gp37
PF12604.9	gp37_C
PF05268.12	GP38
PF03010.15	GP4
PF11025.9	GP40
PF00517.18	GP41
PF17510.3	GP44
PF17470.3	Gp45_2
PF09116.11	gp45-slide_C
PF07409.13	GP46
PF05973.15	Gp49
PF06715.13	Gp5_C
PF06714.12	Gp5_OB
PF17468.3	GP52
PF17594.3	GP57
PF07902.12	Gp58
PF17471.3	GP63
PF17634.3	GP67
PF17469.3	GP68
PF17429.3	GP70
PF17463.3	GP79
PF17338.3	GP88
PF14829.7	GPAT_N
PF11904.9	GPCR_chapero_1
PF10192.10	GpcrRhopsn4
PF02925.17	gpD
PF10110.10	GPDPase_memb
PF16905.6	GPHH
PF12537.9	GPHR_N
PF06560.12	GPI
PF10342.10	GPI-anchored
PF05024.16	Gpi1
PF04113.15	Gpi16
PF06432.12	GPI2
PF05719.12	GPP34
PF11970.9	GPR_Gpa2_C
PF01184.20	Gpr1_Fun34_YaaH
PF15854.6	GPR15L
PF01825.22	GPS
PF15784.6	GPS2_interact
PF11359.9	gpUL132
PF02831.16	gpW
PF04965.15	GPW_gp25
PF05084.14	GRA6
PF10375.10	GRAB
PF02893.21	GRAM
PF00746.22	Gram_pos_anchor
PF16569.6	GramPos_pilinBB
PF16555.6	GramPos_pilinD1
PF16570.6	GramPos_pilinD3
PF01271.18	Granin
PF00396.19	Granulin
PF03514.15	GRAS
PF04495.15	GRASP55_65
PF04723.15	GRDA
PF07355.13	GRDB
PF07173.13	GRDP-like
PF01272.20	GreA_GreB
PF03449.16	GreA_GreB_N
PF15782.6	GREB1
PF11034.9	Grg1
PF06212.13	GRIM-19
PF15235.7	GRIN_C
PF01465.21	GRIP
PF16518.6	GrlR
PF04155.19	Ground-like
PF07172.12	GRP
PF16984.6	Grp7_allergen
PF04229.15	GrpB
PF01025.20	GrpE
PF07919.13	Gryzun
PF12742.8	Gryzun-like
PF14959.7	GSAP-16
PF08885.12	GSCFA
PF07995.12	GSDH
PF11055.9	Gsf2
PF07803.12	GSG-1
PF03917.18	GSH_synth_ATP
PF03199.16	GSH_synthase
PF02955.17	GSH-S_ATP
PF02951.15	GSH-S_N
PF08886.12	GshA
PF00255.20	GSHPx
PF12437.9	GSIII_N
PF05350.13	GSK-3_bind
PF03738.15	GSP_synth
PF12019.9	GspH
PF12693.8	GspL_C
PF00043.26	GST_C
PF13410.7	GST_C_2
PF14497.7	GST_C_3
PF14834.7	GST_C_4
PF16865.6	GST_C_5
PF17171.5	GST_C_6
PF02798.21	GST_N
PF13409.7	GST_N_2
PF13417.7	GST_N_3
PF17172.5	GST_N_4
PF18485.2	GST_N_5
PF09698.11	GSu_C4xC__C2xCH
PF08759.12	GT-D
PF09594.11	GT87
PF11351.9	GTA_holin_3TM
PF13547.7	GTA_TIM
PF02946.15	GTF2I
PF09729.10	Gti1_Pac2
PF12471.9	GTP_CH_N
PF00925.21	GTP_cyclohydro2
PF01227.23	GTP_cyclohydroI
PF00009.28	GTP_EFTU
PF03144.26	GTP_EFTU_D2
PF03143.18	GTP_EFTU_D3
PF14578.7	GTP_EFTU_D4
PF16360.6	GTP-bdg_M
PF13167.7	GTP-bdg_N
PF01018.23	GTP1_OBG
PF09027.11	GTPase_binding
PF04670.13	Gtr1_RagA
PF04138.15	GtrA
PF15259.7	GTSE1_N
PF00211.21	Guanylate_cyc
PF09778.10	Guanylate_cyc_2
PF00625.22	Guanylate_kin
PF02058.16	Guanylin
PF13947.7	GUB_WAK_bind
PF08152.13	GUCT
PF05419.13	GUN4
PF16416.6	GUN4_N
PF06923.12	GutM
PF07088.12	GvpD
PF05120.13	GvpG
PF05455.12	GvpH
PF05121.13	GvpK
PF06386.12	GvpL_GvpF
PF05800.12	GvpO
PF13457.7	GW
PF06423.13	GWT1
PF14607.7	GxDLY
PF01493.20	GXGXG
PF14323.7	GxGYxYP_C
PF16216.6	GxGYxYP_N
PF14231.7	GXWXG
PF08734.12	GYD
PF02213.17	GYF
PF14237.7	GYF_2
PF07253.12	Gypsy
PF02756.15	GYR
PF18053.2	GyrB_insert
PF06445.16	GyrI-like
PF04162.13	Gyro_capsid
PF12282.9	H_kinase_N
PF09458.11	H_lectin
PF03030.17	H_PPase
PF09040.12	H-K_ATPase_N
PF02895.15	H-kinase_dim
PF03883.15	H2O2_YaaD
PF06831.15	H2TH
PF03457.15	HA
PF18239.2	HA1
PF04408.24	HA2
PF17993.2	HA70_C
PF04774.16	HABP4_PAI-RBP1
PF12710.8	HAD
PF13419.7	HAD_2
PF10307.10	HAD_SAK_1
PF18143.2	HAD_SAK_2
PF14376.7	Haem_bd
PF03928.15	Haem_degrading
PF14518.7	Haem_oxygenas_2
PF09065.11	Haemadin
PF05860.14	Haemagg_act
PF14830.7	Haemocyan_bet_s
PF16123.6	HAGH_C
PF07527.14	Hairy_orange
PF05465.14	Halo_GVPC
PF18545.2	HalOD1
PF18547.2	HalOD2
PF10112.10	Halogen_Hydrol
PF08663.11	HalX
PF02183.19	HALZ
PF01725.17	Ham1p_like
PF04388.13	Hamartin
PF00672.26	HAMP
PF18947.1	HAMP_2
PF18575.2	HAMP_N3
PF09110.12	HAND
PF01567.17	Hanta_G1
PF01561.17	Hanta_G2
PF00846.19	Hanta_nucleocap
PF03866.14	HAP
PF04849.14	HAP1_N
PF10699.10	HAP2-GCS1
PF10297.10	Hap4_Hap_bind
PF11639.9	HapK
PF15196.7	Harakiri
PF05066.14	HARE-HTH
PF07443.14	HARP
PF04877.13	Harpin
PF09378.11	HAS-barrel
PF06438.13	HasA
PF12330.9	Haspin_kinase
PF02184.17	HAT
PF08214.12	HAT_KAT11
PF10394.10	Hat1_N
PF02518.27	HATPase_c
PF13581.7	HATPase_c_2
PF13589.7	HATPase_c_3
PF13749.7	HATPase_c_4
PF14501.7	HATPase_c_5
PF14932.7	HAUS-augmin3
PF15003.7	HAUS2
PF14735.7	HAUS4
PF14817.7	HAUS5
PF14661.7	HAUS6_N
PF12944.8	HAV_VP
PF06777.12	HBB
PF18534.2	HBD
PF16591.6	HBM
PF08539.12	HbrB
PF08938.11	HBS1_N
PF07432.14	Hc1
PF07382.12	HC2
PF06594.12	HCBP_related
PF14856.7	Hce2
PF17609.3	HCMV_UL124
PF12507.9	HCMV_UL139
PF12154.9	HCMVantigenic_N
PF07818.14	HCNGP
